customer_id,first_name,job_industry_category,wealth_segment,owns_car,Age,state,RFM_value
419,Chrissie,Manufacturing,Affluent Customer,No,40.0,QLD,444
3290,Brandyn,Manufacturing,High Net Worth,Yes,59.0,Victoria,444
1438,Winifred,Health,Mass Customer,Yes,46.0,New South Wales,444
1905,Corabelle,Manufacturing,Affluent Customer,No,68.0,New South Wales,444
768,Alexia,Argiculture,Affluent Customer,Yes,47.0,New South Wales,444
1182,Carolann,IT,Mass Customer,Yes,46.0,New South Wales,444
165,Aldon,Argiculture,Mass Customer,Yes,37.0,New South Wales,444
2492,Gayelord,Manufacturing,High Net Worth,No,47.0,New South Wales,444
167,Nathalie,Health,High Net Worth,Yes,52.0,QLD,444
2659,Konstance,Argiculture,High Net Worth,Yes,47.0,QLD,444
2653,Aylmer,Health,Affluent Customer,No,26.0,Victoria,444
753,Josy,Health,Affluent Customer,Yes,51.0,New South Wales,444
1428,Morissa,Retail,High Net Worth,No,23.0,New South Wales,444
173,Ebba,Health,Affluent Customer,No,24.0,New South Wales,444
174,Catie,Health,Mass Customer,No,32.0,New South Wales,444
2651,Silvan,Manufacturing,Mass Customer,Yes,43.0,New South Wales,444
1885,Jerome,Health,High Net Worth,Yes,39.0,New South Wales,444
3118,Cleveland,Health,High Net Worth,No,28.0,QLD,444
322,De,Financial Services,Mass Customer,Yes,44.0,QLD,444
180,Trisha,Argiculture,Affluent Customer,No,50.0,QLD,444
3375,Thorsten,Financial Services,High Net Worth,Yes,28.0,New South Wales,444
182,Lydon,Financial Services,Affluent Customer,Yes,29.0,QLD,444
320,Aldous,Health,Mass Customer,No,24.0,QLD,444
2992,Crystal,Health,Mass Customer,Yes,47.0,Victoria,444
577,Nadean,Property,Mass Customer,Yes,65.0,Victoria,444
2993,Blinnie,Financial Services,Affluent Customer,No,26.0,New South Wales,444
739,Arnie,Manufacturing,Mass Customer,No,57.0,Victoria,444
1232,Stillmann,Property,Affluent Customer,No,62.0,QLD,444
1233,Keeley,Retail,Affluent Customer,Yes,43.0,New South Wales,444
1446,Gabriello,Manufacturing,Mass Customer,No,34.0,Victoria,444
548,Georgie,IT,High Net Worth,Yes,43.969332992588804,QLD,444
1404,Emmott,Manufacturing,Mass Customer,Yes,64.0,Victoria,444
3286,Kent,Entertainment,Mass Customer,No,60.0,Victoria,444
